id,user_input,trigger,action_1,action_2,action_3
572,"On order cancellation, post a message to Slack and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
573,"When an order is cancelled, send a Slack notification.",Order Cancelled,Notify Slack,,
574,"After an order cancellation, post a message to Slack, send an email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
575,"Whenever a customer cancels an order, post a message to Slack and notify the customer by email.",Order Cancelled,Notify Slack,Send Email,
576,"If an order is cancelled, alert the team on Slack.",Order Cancelled,Notify Slack,,
577,"When a purchase is cancelled, add the data to the spreadsheet.",Order Cancelled,Update Spreadsheet,,
578,"After an order is terminated, post a message to Slack, send an email notification and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
579,"Upon order cancellation, alert the team on Slack, send an email notification and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
580,"Whenever an order gets cancelled, alert the team on Slack, send an email and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
581,"If a customer cancels their order, post a message to Slack.",Order Cancelled,Notify Slack,,
582,"On order cancellation, send a welcome email and update the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
583,"When a contact form is submitted, post a message to Slack and email the customer.",Contact Form Submitted,Notify Slack,Send Email,
584,"After a customer submits the contact form, generate a help desk ticket and send a welcome email.",Contact Form Submitted,Create Ticket,Send Email,
585,"Whenever someone fills out the contact form, log a support request and send a welcome email.",Contact Form Submitted,Create Ticket,Send Email,
586,"Once a contact request is submitted, send a Slack notification.",Contact Form Submitted,Notify Slack,,
587,"When a visitor sends a contact request, log a support request and send a Slack notification.",Contact Form Submitted,Create Ticket,Notify Slack,
588,"After receiving a contact form, create a support ticket, post a message to Slack and notify the customer by email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
589,"Whenever a contact message is received, create a support ticket and send a welcome email.",Contact Form Submitted,Create Ticket,Send Email,
590,"When a customer submits an enquiry, create a support ticket.",Contact Form Submitted,Create Ticket,,
591,"Upon contact form submission, create a customer support case, send a Slack notification and email the customer.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
592,"Every time a contact form is completed, log a support request, send a Slack notification and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
593,"When a contact form is submitted, create a support ticket, send a Slack alert and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
594,"After a customer submits the contact form, log a support request and notify the Slack channel.",Contact Form Submitted,Create Ticket,Notify Slack,
595,"Whenever someone fills out the contact form, create a support ticket, send a Slack alert and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
596,"Once a contact request is submitted, open a support ticket, post a message to Slack and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
597,"When a visitor sends a contact request, create a customer support case and alert the team on Slack.",Contact Form Submitted,Create Ticket,Notify Slack,
598,"After receiving a contact form, generate a help desk ticket, alert the team on Slack and notify the customer by email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
599,"Whenever a contact message is received, open a support ticket, alert the team on Slack and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
600,"Upon contact form submission, open a support ticket.",Contact Form Submitted,Create Ticket,,
601,"Every time a contact form is completed, create a customer support case, post a message to Slack and notify the customer by email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
602,"When a contact form is submitted, create a customer support case.",Contact Form Submitted,Create Ticket,,
603,"After a customer submits the contact form, log a support request, alert the team on Slack and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
604,"Whenever someone fills out the contact form, log a support request.",Contact Form Submitted,Create Ticket,,
605,"Once a contact request is submitted, log a support request, send a Slack notification and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
606,"When a visitor sends a contact request, log a support request and post a message to Slack.",Contact Form Submitted,Create Ticket,Notify Slack,
607,"After receiving a contact form, log a support request and send a Slack notification.",Contact Form Submitted,Create Ticket,Notify Slack,
608,"Whenever a contact message is received, notify the Slack channel.",Contact Form Submitted,Notify Slack,,
609,"Upon contact form submission, open a support ticket and notify the customer by email.",Contact Form Submitted,Create Ticket,Send Email,
610,"Every time a contact form is completed, create a customer support case, notify the Slack channel and email the customer.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
611,"When a contact form is submitted, create a customer support case, send a Slack notification and notify the customer by email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
612,"After a customer submits the contact form, send a Slack notification.",Contact Form Submitted,Notify Slack,,
613,"Whenever someone fills out the contact form, generate a help desk ticket and email the customer.",Contact Form Submitted,Create Ticket,Send Email,
614,"Once a contact request is submitted, create a support ticket.",Contact Form Submitted,Create Ticket,,
615,"When a visitor sends a contact request, send an email notification.",Contact Form Submitted,Send Email,,
616,"After receiving a contact form, create a customer support case, send a Slack notification and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
617,"Whenever a contact message is received, send an email notification.",Contact Form Submitted,Send Email,,
618,"When a customer submits an enquiry, create a customer support case and send a Slack alert.",Contact Form Submitted,Create Ticket,Notify Slack,
619,"Upon contact form submission, generate a help desk ticket.",Contact Form Submitted,Create Ticket,,
620,"Every time a contact form is completed, create a customer support case and notify the Slack channel.",Contact Form Submitted,Create Ticket,Notify Slack,
621,"When a contact form is submitted, create a support ticket.",Contact Form Submitted,Create Ticket,,
622,"After a customer submits the contact form, send a Slack notification and send an email.",Contact Form Submitted,Notify Slack,Send Email,
623,"Whenever someone fills out the contact form, alert the team on Slack.",Contact Form Submitted,Notify Slack,,
624,"Once a contact request is submitted, post a message to Slack.",Contact Form Submitted,Notify Slack,,
625,"When a visitor sends a contact request, log a support request and notify the customer by email.",Contact Form Submitted,Create Ticket,Send Email,
626,"After receiving a contact form, post a message to Slack and send an email notification.",Contact Form Submitted,Notify Slack,Send Email,
627,"Whenever a contact message is received, log a support request, alert the team on Slack and send an email notification.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
628,"When a customer submits an enquiry, notify the Slack channel.",Contact Form Submitted,Notify Slack,,
629,"Upon contact form submission, create a customer support case, post a message to Slack and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
630,"Every time a contact form is completed, generate a help desk ticket and email the customer.",Contact Form Submitted,Create Ticket,Send Email,
631,"When a contact form is submitted, create a customer support case and notify the customer by email.",Contact Form Submitted,Create Ticket,Send Email,
632,"After a customer submits the contact form, notify the Slack channel and send a welcome email.",Contact Form Submitted,Notify Slack,Send Email,
633,"Whenever someone fills out the contact form, open a support ticket, post a message to Slack and notify the customer by email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
634,"Once a contact request is submitted, open a support ticket.",Contact Form Submitted,Create Ticket,,
635,"When a visitor sends a contact request, generate a help desk ticket, notify the Slack channel and email the customer.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
636,"After receiving a contact form, open a support ticket and send a welcome email.",Contact Form Submitted,Create Ticket,Send Email,
637,"Whenever a contact message is received, open a support ticket and post a message to Slack.",Contact Form Submitted,Create Ticket,Notify Slack,
638,"When a customer submits an enquiry, open a support ticket, post a message to Slack and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
639,"Upon contact form submission, send a Slack notification.",Contact Form Submitted,Notify Slack,,
640,"Every time a contact form is completed, create a support ticket, alert the team on Slack and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
641,"When a contact form is submitted, post a message to Slack and send a welcome email.",Contact Form Submitted,Notify Slack,Send Email,
642,"After a customer submits the contact form, create a support ticket.",Contact Form Submitted,Create Ticket,,
643,"Whenever someone fills out the contact form, generate a help desk ticket, alert the team on Slack and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
644,"Once a contact request is submitted, notify the Slack channel and send an email notification.",Contact Form Submitted,Notify Slack,Send Email,
645,"When a visitor sends a contact request, generate a help desk ticket, send a Slack notification and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
646,"After receiving a contact form, open a support ticket and notify the Slack channel.",Contact Form Submitted,Create Ticket,Notify Slack,
647,"Whenever a contact message is received, send a welcome email.",Contact Form Submitted,Send Email,,
648,"When a customer submits an enquiry, log a support request, alert the team on Slack and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
649,"Upon contact form submission, create a support ticket.",Contact Form Submitted,Create Ticket,,
650,"Every time a contact form is completed, send a Slack alert.",Contact Form Submitted,Notify Slack,,
651,"When a contact form is submitted, generate a help desk ticket, send a Slack notification and send an email notification.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
652,"After a customer submits the contact form, generate a help desk ticket, notify the Slack channel and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
653,"Whenever someone fills out the contact form, open a support ticket and notify the customer by email.",Contact Form Submitted,Create Ticket,Send Email,
654,"Once a contact request is submitted, generate a help desk ticket, alert the team on Slack and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
655,"When a visitor sends a contact request, generate a help desk ticket and send a Slack alert.",Contact Form Submitted,Create Ticket,Notify Slack,
656,"After receiving a contact form, create a support ticket, send a Slack alert and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
657,"Whenever a contact message is received, open a support ticket.",Contact Form Submitted,Create Ticket,,
658,"When a customer submits an enquiry, notify the customer by email.",Contact Form Submitted,Send Email,,
659,"Upon contact form submission, log a support request, notify the Slack channel and send an email notification.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
660,"When a contact form is submitted, log a support request, send a Slack alert and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
661,"After a customer submits the contact form, open a support ticket and notify the Slack channel.",Contact Form Submitted,Create Ticket,Notify Slack,
662,"Whenever someone fills out the contact form, notify the customer by email.",Contact Form Submitted,Send Email,,
663,"Once a contact request is submitted, create a customer support case.",Contact Form Submitted,Create Ticket,,
664,"When a visitor sends a contact request, create a support ticket, notify the Slack channel and send an email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
665,"After receiving a contact form, generate a help desk ticket, send a Slack alert and send an email notification.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
666,"When a customer submits an enquiry, log a support request.",Contact Form Submitted,Create Ticket,,
667,"Upon contact form submission, alert the team on Slack and send an email notification.",Contact Form Submitted,Notify Slack,Send Email,
668,"Every time a contact form is completed, create a customer support case, alert the team on Slack and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
669,"When a contact form is submitted, alert the team on Slack and send an email.",Contact Form Submitted,Notify Slack,Send Email,
670,"After a customer submits the contact form, send a Slack notification and send an email notification.",Contact Form Submitted,Notify Slack,Send Email,
671,"Whenever someone fills out the contact form, send a welcome email.",Contact Form Submitted,Send Email,,
672,"Once a contact request is submitted, notify the customer by email.",Contact Form Submitted,Send Email,,
673,"When a visitor sends a contact request, open a support ticket and send a welcome email.",Contact Form Submitted,Create Ticket,Send Email,
674,"After receiving a contact form, generate a help desk ticket, send a Slack notification and notify the customer by email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
675,"Whenever a contact message is received, create a customer support case, alert the team on Slack and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
676,"When a customer submits an enquiry, open a support ticket, send a Slack alert and send a welcome email.",Contact Form Submitted,Create Ticket,Notify Slack,Send Email
677,"Upon contact form submission, generate a help desk ticket and email the customer.",Contact Form Submitted,Create Ticket,Send Email,
678,"Every time a contact form is completed, create a support ticket and email the customer.",Contact Form Submitted,Create Ticket,Send Email,
679,"When a file is uploaded, store the record.",File Uploaded,Save to Database,,
680,"After a file upload, post a message to Slack and store the uploaded document.",File Uploaded,Notify Slack,Upload File,
681,"Whenever a user uploads a file, send a Slack notification, save the customer details and upload the document.",File Uploaded,Notify Slack,Save to Database,Upload File
682,"Once a file is successfully uploaded, save the file.",File Uploaded,Upload File,,
683,"When a document is uploaded, alert the team on Slack and upload the file.",File Uploaded,Notify Slack,Upload File,
684,"After uploading a file, send a Slack notification, store the record and save the uploaded file.",File Uploaded,Notify Slack,Save to Database,Upload File
685,"Whenever a new file is received, store the information in the database and store the uploaded document.",File Uploaded,Save to Database,Upload File,
686,"When someone uploads a document, save the uploaded file.",File Uploaded,Upload File,,
687,"Upon successful file upload, notify the Slack channel, store the record and upload the file.",File Uploaded,Notify Slack,Save to Database,Upload File
688,"Every time a file is uploaded, send a Slack alert, store the record and upload the file.",File Uploaded,Notify Slack,Save to Database,Upload File
689,"When a file is uploaded, send a Slack notification and store the uploaded document.",File Uploaded,Notify Slack,Upload File,
690,"After a file upload, alert the team on Slack and save the data to the database.",File Uploaded,Notify Slack,Save to Database,
691,"Whenever a user uploads a file, save the customer details and save the uploaded file.",File Uploaded,Save to Database,Upload File,
692,"Once a file is successfully uploaded, notify the Slack channel.",File Uploaded,Notify Slack,,
693,"When a document is uploaded, save the uploaded file.",File Uploaded,Upload File,,
694,"After uploading a file, post a message to Slack and save the customer details.",File Uploaded,Notify Slack,Save to Database,
695,"Whenever a new file is received, alert the team on Slack, insert the record into the database and store the uploaded document.",File Uploaded,Notify Slack,Save to Database,Upload File
696,"Upon successful file upload, alert the team on Slack, store the information in the database and upload the file.",File Uploaded,Notify Slack,Save to Database,Upload File
697,"Every time a file is uploaded, send a Slack alert, save the customer details and store the uploaded document.",File Uploaded,Notify Slack,Save to Database,Upload File
698,"When a file is uploaded, post a message to Slack and upload the document.",File Uploaded,Notify Slack,Upload File,
699,"After a file upload, post a message to Slack, save the customer details and save the uploaded file.",File Uploaded,Notify Slack,Save to Database,Upload File
700,"Whenever a user uploads a file, upload the file.",File Uploaded,Upload File,,
701,"Once a file is successfully uploaded, save the uploaded file.",File Uploaded,Upload File,,
702,"When a document is uploaded, store the record and save the file.",File Uploaded,Save to Database,Upload File,
703,"After uploading a file, notify the Slack channel and save the uploaded file.",File Uploaded,Notify Slack,Upload File,
704,"Whenever a new file is received, alert the team on Slack, save the customer details and upload the file.",File Uploaded,Notify Slack,Save to Database,Upload File
705,"When someone uploads a document, send a Slack alert and upload the document.",File Uploaded,Notify Slack,Upload File,
706,"Upon successful file upload, post a message to Slack, insert the record into the database and save the uploaded file.",File Uploaded,Notify Slack,Save to Database,Upload File
707,"Every time a file is uploaded, alert the team on Slack and store the uploaded document.",File Uploaded,Notify Slack,Upload File,
708,"When a file is uploaded, send a Slack alert and save the file.",File Uploaded,Notify Slack,Upload File,
709,"After a file upload, post a message to Slack, store the record and upload the document.",File Uploaded,Notify Slack,Save to Database,Upload File
710,"Whenever a user uploads a file, store the uploaded document.",File Uploaded,Upload File,,
711,"Once a file is successfully uploaded, store the information in the database and save the file.",File Uploaded,Save to Database,Upload File,
712,"When a document is uploaded, send a Slack alert.",File Uploaded,Notify Slack,,
713,"After uploading a file, save the data to the database.",File Uploaded,Save to Database,,
714,"Whenever a new file is received, alert the team on Slack and store the record.",File Uploaded,Notify Slack,Save to Database,
715,"When someone uploads a document, send a Slack notification, save the customer details and store the uploaded document.",File Uploaded,Notify Slack,Save to Database,Upload File
716,"Upon successful file upload, notify the Slack channel, insert the record into the database and save the file.",File Uploaded,Notify Slack,Save to Database,Upload File
717,"Every time a file is uploaded, send a Slack notification and upload the file.",File Uploaded,Notify Slack,Upload File,
718,"When a file is uploaded, send a Slack notification.",File Uploaded,Notify Slack,,
719,"After a file upload, send a Slack notification and save the file.",File Uploaded,Notify Slack,Upload File,
720,"Whenever a user uploads a file, store the information in the database and save the uploaded file.",File Uploaded,Save to Database,Upload File,
721,"Once a file is successfully uploaded, alert the team on Slack, store the record and save the file.",File Uploaded,Notify Slack,Save to Database,Upload File
722,"When a document is uploaded, send a Slack notification.",File Uploaded,Notify Slack,,
723,"After uploading a file, send a Slack notification and insert the record into the database.",File Uploaded,Notify Slack,Save to Database,
724,"Whenever a new file is received, upload the file.",File Uploaded,Upload File,,
725,"When someone uploads a document, send a Slack notification.",File Uploaded,Notify Slack,,
726,"Upon successful file upload, post a message to Slack.",File Uploaded,Notify Slack,,
727,"Every time a file is uploaded, store the record.",File Uploaded,Save to Database,,
728,"When a file is uploaded, store the uploaded document.",File Uploaded,Upload File,,
729,"After a file upload, notify the Slack channel, store the information in the database and save the file.",File Uploaded,Notify Slack,Save to Database,Upload File
730,"Whenever a user uploads a file, notify the Slack channel, save the data to the database and upload the document.",File Uploaded,Notify Slack,Save to Database,Upload File
731,"Once a file is successfully uploaded, alert the team on Slack, store the information in the database and save the uploaded file.",File Uploaded,Notify Slack,Save to Database,Upload File
732,"When a document is uploaded, send a Slack notification, store the record and save the file.",File Uploaded,Notify Slack,Save to Database,Upload File
733,"After uploading a file, post a message to Slack and store the uploaded document.",File Uploaded,Notify Slack,Upload File,
734,"Whenever a new file is received, send a Slack notification, save the customer details and save the file.",File Uploaded,Notify Slack,Save to Database,Upload File
735,"When someone uploads a document, send a Slack notification and save the file.",File Uploaded,Notify Slack,Upload File,
736,"Upon successful file upload, send a Slack alert and upload the file.",File Uploaded,Notify Slack,Upload File,
737,"Every time a file is uploaded, save the customer details and save the uploaded file.",File Uploaded,Save to Database,Upload File,
738,"When a file is uploaded, save the customer details and store the uploaded document.",File Uploaded,Save to Database,Upload File,
739,"After a file upload, store the information in the database and save the uploaded file.",File Uploaded,Save to Database,Upload File,
740,"Whenever a user uploads a file, notify the Slack channel, save the customer details and upload the file.",File Uploaded,Notify Slack,Save to Database,Upload File
741,"Once a file is successfully uploaded, send a Slack notification and insert the record into the database.",File Uploaded,Notify Slack,Save to Database,
742,"When a document is uploaded, send a Slack alert and insert the record into the database.",File Uploaded,Notify Slack,Save to Database,
743,"After uploading a file, store the record.",File Uploaded,Save to Database,,
744,"Whenever a new file is received, post a message to Slack, save the customer details and upload the file.",File Uploaded,Notify Slack,Save to Database,Upload File
745,"When someone uploads a document, save the data to the database and upload the file.",File Uploaded,Save to Database,Upload File,
746,"Upon successful file upload, store the information in the database.",File Uploaded,Save to Database,,
747,"Every time a file is uploaded, send a Slack alert and upload the file.",File Uploaded,Notify Slack,Upload File,
748,"When a file is uploaded, notify the Slack channel and insert the record into the database.",File Uploaded,Notify Slack,Save to Database,
749,"After a file upload, notify the Slack channel, save the customer details and store the uploaded document.",File Uploaded,Notify Slack,Save to Database,Upload File
750,"Whenever a user uploads a file, upload the document.",File Uploaded,Upload File,,
751,"Once a file is successfully uploaded, alert the team on Slack, store the information in the database and upload the file.",File Uploaded,Notify Slack,Save to Database,Upload File
752,"When a document is uploaded, store the record.",File Uploaded,Save to Database,,
753,"After uploading a file, alert the team on Slack, save the customer details and upload the document.",File Uploaded,Notify Slack,Save to Database,Upload File
754,"Whenever a new file is received, store the record.",File Uploaded,Save to Database,,
755,"When someone uploads a document, notify the Slack channel and save the uploaded file.",File Uploaded,Notify Slack,Upload File,
756,"Upon successful file upload, alert the team on Slack.",File Uploaded,Notify Slack,,
757,"Every time a file is uploaded, save the customer details.",File Uploaded,Save to Database,,
758,"When a file is uploaded, post a message to Slack and save the data to the database.",File Uploaded,Notify Slack,Save to Database,
759,"After a file upload, send a Slack alert.",File Uploaded,Notify Slack,,
760,"Whenever a user uploads a file, insert the record into the database and store the uploaded document.",File Uploaded,Save to Database,Upload File,
761,"Once a file is successfully uploaded, save the customer details.",File Uploaded,Save to Database,,
762,"When a document is uploaded, alert the team on Slack and store the information in the database.",File Uploaded,Notify Slack,Save to Database,
763,"After uploading a file, send a Slack notification and upload the file.",File Uploaded,Notify Slack,Upload File,
764,"Whenever a new file is received, alert the team on Slack.",File Uploaded,Notify Slack,,
765,"When someone uploads a document, post a message to Slack, store the record and upload the document.",File Uploaded,Notify Slack,Save to Database,Upload File
766,"Upon successful file upload, post a message to Slack, save the data to the database and upload the file.",File Uploaded,Notify Slack,Save to Database,Upload File
767,"Every time a file is uploaded, send a Slack alert and save the file.",File Uploaded,Notify Slack,Upload File,
768,"When a file is uploaded, post a message to Slack, store the information in the database and save the uploaded file.",File Uploaded,Notify Slack,Save to Database,Upload File
769,"After a file upload, save the uploaded file.",File Uploaded,Upload File,,
770,"Whenever a user uploads a file, save the customer details.",File Uploaded,Save to Database,,
771,"Once a file is successfully uploaded, send a Slack alert, save the data to the database and store the uploaded document.",File Uploaded,Notify Slack,Save to Database,Upload File
772,"When a document is uploaded, send a Slack alert, insert the record into the database and save the file.",File Uploaded,Notify Slack,Save to Database,Upload File
773,"After uploading a file, notify the Slack channel and store the record.",File Uploaded,Notify Slack,Save to Database,
774,"Whenever a new file is received, post a message to Slack, store the information in the database and save the uploaded file.",File Uploaded,Notify Slack,Save to Database,Upload File
775,"When someone uploads a document, send a Slack alert, save the customer details and store the uploaded document.",File Uploaded,Notify Slack,Save to Database,Upload File
776,"Upon successful file upload, post a message to Slack, insert the record into the database and save the file.",File Uploaded,Notify Slack,Save to Database,Upload File
777,"Every time a file is uploaded, alert the team on Slack, insert the record into the database and save the uploaded file.",File Uploaded,Notify Slack,Save to Database,Upload File
778,"When an invoice is generated, produce a PDF report, email the customer and add the data to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
779,"After generating an invoice, append a new row to the spreadsheet.",Invoice Generated,Update Spreadsheet,,
780,"Whenever a new invoice is created, export the document as PDF and email the customer.",Invoice Generated,Generate PDF,Send Email,
781,"Once an invoice is available, generate a PDF and add the data to the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
782,"When the invoice is ready, produce a PDF report.",Invoice Generated,Generate PDF,,
783,"Upon invoice generation, save the document as PDF and update the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
784,"After an invoice is created, create a PDF document.",Invoice Generated,Generate PDF,,
785,"Whenever an invoice is produced, save the document as PDF and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
786,"When a billing invoice is generated, add the data to the spreadsheet.",Invoice Generated,Update Spreadsheet,,
787,"Every time an invoice is generated, save the document as PDF.",Invoice Generated,Generate PDF,,
788,"When an invoice is generated, send an email and add the data to the spreadsheet.",Invoice Generated,Send Email,Update Spreadsheet,
789,"After generating an invoice, send an email.",Invoice Generated,Send Email,,
790,"Whenever a new invoice is created, generate a PDF.",Invoice Generated,Generate PDF,,
791,"Once an invoice is available, email the customer and record the details in the spreadsheet.",Invoice Generated,Send Email,Update Spreadsheet,
792,"When the invoice is ready, generate a PDF and update the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
793,"Upon invoice generation, produce a PDF report.",Invoice Generated,Generate PDF,,
794,"After an invoice is created, save the document as PDF, send an email notification and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
795,"Whenever an invoice is produced, generate a PDF and email the customer.",Invoice Generated,Generate PDF,Send Email,
796,"When a billing invoice is generated, generate a PDF.",Invoice Generated,Generate PDF,,
797,"Every time an invoice is generated, add the data to the spreadsheet.",Invoice Generated,Update Spreadsheet,,
798,"When an invoice is generated, add the data to the spreadsheet.",Invoice Generated,Update Spreadsheet,,
799,"After generating an invoice, save the document as PDF, send a welcome email and update the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
800,"Whenever a new invoice is created, send an email notification and update the spreadsheet.",Invoice Generated,Send Email,Update Spreadsheet,
801,"Once an invoice is available, save the document as PDF.",Invoice Generated,Generate PDF,,
802,"When the invoice is ready, produce a PDF report and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
803,"Upon invoice generation, create a PDF document and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
804,"After an invoice is created, save the document as PDF and update the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
805,"Whenever an invoice is produced, record the details in the spreadsheet.",Invoice Generated,Update Spreadsheet,,
806,"When a billing invoice is generated, generate a PDF, notify the customer by email and update the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
807,"Every time an invoice is generated, export the document as PDF and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
808,"When an invoice is generated, create a PDF document, send an email notification and add the data to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
809,"Whenever a new invoice is created, produce a PDF report, email the customer and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
810,"Once an invoice is available, generate a PDF and save the information in the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
811,"When the invoice is ready, create a PDF document, send an email notification and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
812,"Upon invoice generation, save the document as PDF, send an email and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
813,"Whenever an invoice is produced, generate a PDF, send an email and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
814,"When a billing invoice is generated, record the details in the spreadsheet.",Invoice Generated,Update Spreadsheet,,
815,"Every time an invoice is generated, export the document as PDF and save the information in the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
816,"When an invoice is generated, produce a PDF report and send a welcome email.",Invoice Generated,Generate PDF,Send Email,
817,"After generating an invoice, create a PDF document, send an email notification and update the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
818,"Whenever a new invoice is created, generate a PDF, send an email and add the data to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
819,"Once an invoice is available, produce a PDF report.",Invoice Generated,Generate PDF,,
820,"When the invoice is ready, create a PDF document, send a welcome email and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
821,"Upon invoice generation, email the customer and update the spreadsheet.",Invoice Generated,Send Email,Update Spreadsheet,
822,"After an invoice is created, export the document as PDF.",Invoice Generated,Generate PDF,,
823,"Whenever an invoice is produced, send an email notification.",Invoice Generated,Send Email,,
824,"Every time an invoice is generated, append a new row to the spreadsheet.",Invoice Generated,Update Spreadsheet,,
825,"When an invoice is generated, produce a PDF report, notify the customer by email and update the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
826,"After generating an invoice, add the data to the spreadsheet.",Invoice Generated,Update Spreadsheet,,
827,"Whenever a new invoice is created, save the document as PDF, send an email and update the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
828,"Once an invoice is available, export the document as PDF, email the customer and add the data to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
829,"When the invoice is ready, save the document as PDF.",Invoice Generated,Generate PDF,,
830,"Upon invoice generation, generate a PDF, email the customer and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
831,"After an invoice is created, produce a PDF report and add the data to the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
832,"Whenever an invoice is produced, create a PDF document and add the data to the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
833,"When a billing invoice is generated, send an email and add the data to the spreadsheet.",Invoice Generated,Send Email,Update Spreadsheet,
834,"Every time an invoice is generated, update the spreadsheet.",Invoice Generated,Update Spreadsheet,,
835,"When an invoice is generated, export the document as PDF, send a welcome email and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
836,"After generating an invoice, generate a PDF, send a welcome email and update the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
837,"Whenever a new invoice is created, produce a PDF report, send a welcome email and save the information in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
838,"Once an invoice is available, create a PDF document and send a welcome email.",Invoice Generated,Generate PDF,Send Email,
839,"When the invoice is ready, save the document as PDF and email the customer.",Invoice Generated,Generate PDF,Send Email,
840,"Upon invoice generation, generate a PDF, send an email notification and save the information in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
